entry_id,topic,sme_name,specialization,content
bill-01,Billing Cycle and AutoPay,Sofia Alvarez,Customer Care & Billing,Bills are issued monthly and the bill cycle date is set at activation. Payment is due 20 days after the bill is issued. The AutoPay discount is $5 per line when linked to a debit card or bank account; credit cards are not eligible for the discount. AutoPay drafts payment 2 days before the due date.
bill-02,"Taxes, Fees, and Late Payment",Sofia Alvarez,Customer Care & Billing,"Some plans are advertised with taxes and fees included (Go5G family), while others are plus taxes and fees (Essentials). A Regulatory Programs & Telco Recovery Fee may apply per line. The late fee is $7 or 5% of the past-due amount, whichever is greater. If service is suspended for non-payment, a restoral fee of $20 per line applies when service is restored."
bill-03,Payment Arrangements and Refunds,Sofia Alvarez,Customer Care & Billing,"Eligible accounts can set a payment arrangement to split a past-due balance for up to 30 days. Overpayment refunds are credited to the account or original payment method within 1-2 billing cycles. When service is cancelled, charges are prorated to the day on most current plans."
bill-04,Understanding Your First Bill,Sofia Alvarez,Customer Care & Billing,"The first bill is typically higher because it includes a prorated partial month plus the upcoming full month of service. One-time charges such as activation or a device down payment also appear on the first bill. Promotional and trade-in bill credits usually begin on the second or third bill cycle, not the first."
sec-01,Account Takeover Protection and Port-Out PIN,Derek Coleman,Account Security & Fraud,Account Takeover Protection blocks unauthorized transfers (ports) of your number to another carrier. Customers should set a Port-Out PIN of 6 to 15 digits in account security settings or by calling 611. The PIN is required to port a number out; port requests without the correct PIN are rejected. This protection is recommended for every account to prevent number theft.
sec-02,SIM Swap and Lost or Stolen Device Response,Derek Coleman,Account Security & Fraud,"If a device is lost or stolen, suspend service immediately through the app or by calling 611, and request an IMEI block to stop the device from being used on any network. SIM-swap fraud warning sign: sudden, unexpected loss of signal may mean the SIM was swapped to another device — contact Security right away. After any suspected compromise, re-issue a new SIM and reset the account PIN."
sec-03,Scam Shield and Caller Protections,Derek Coleman,Account Security & Fraud,"Scam Shield is free and includes Scam ID, Scam Block, and Caller ID. Enable Scam Block by dialing #662# and disable it with #632#. Scam Shield Premium is $4/mo and adds Always-On Caller ID and a second proxy number. Numbers reported as scams are flagged network-wide."
sec-04,Account PIN and Identity Verification,Derek Coleman,Account Security & Fraud,A 6-15 digit account PIN or passcode is required to verify identity for in-store and phone support. Set or reset it in account settings; it is best practice to make it different from the port-out PIN. Two-Step Verification can be enabled for online account logins. Never share your PIN — T-Mobile staff will never ask for it by text.
biz-01,Business Unlimited Plans,Aisha Mohammed,T-Mobile for Business,"T-Mobile for Business offers Business Unlimited Select, Advanced, and Ultimate tiers. Business Unlimited Ultimate is $50 per line per month for 6 or more lines with AutoPay and includes 100 GB of hotspot per line. Business Unlimited Advanced is $40 per line at volume with 100 GB hotspot. Plans include pooled data options and dedicated business support."
biz-02,5G Home Internet (Fixed Wireless Access),Aisha Mohammed,T-Mobile for Business,"5G Home Internet is $50/mo with AutoPay, with no annual contract and no equipment fees. It includes the T-Mobile 5G Gateway, which customers self-install in about 15 minutes. Typical speeds range from 87 to 415 Mbps depending on signal. A Price Lock guarantee keeps the monthly rate from increasing."
biz-03,IoT and Connected Device Plans,Aisha Mohammed,T-Mobile for Business,"IoT data plans support fleets, sensors, and connected devices using pooled data shared across SIMs. Lines are managed in the Business Account Hub with per-SIM activation and controls. Low-bandwidth plans start with small monthly data buckets per line for telemetry use cases."
biz-04,Business Account Management and Support,Aisha Mohammed,T-Mobile for Business,"Business accounts with 5 or more lines receive a dedicated support line and an assigned account team. Multi-line billing is consolidated into a single business invoice. Administrators manage lines, plan changes, and user permissions through the Business Account Hub."
